title,content,title_mecab,content_mecab,title_okt,content_okt,title_hannanum,content_hannanum,title_komoran,content_komoran
"착오송금을 했는데, 수취인 계좌가 압류된 경우, 수취인이 사망한 경우 등 반환청구 방법","송금인이 계좌번호를 잘못 입력하여 정당한 수취인이 아닌 다른 사람의 계좌로 입금된 경우, 동 금액을 반환받기 위해서는 해당 계좌 예금주의 동의가 있어야 합니다. 또한 해당 계좌가 압류된 경우 압류권자의 동의가 추가로 필요하고, 수취인이 사망한 경우 상속인의 동의가 필요합니다.  만일 예금주와 연락이 되지 않거나 기타 자금을 반환받을 수 없는 부득이한 사유가 있는 경우에는 해당 계좌의 예금주 등을 상대로 법원에 부당이득반환청구의 소를 제기하시거나 법원의 지급명령 결정을 신청하실 수 있습니다.  참고로, 착오송금의 수취인이 돈을 반환하지 않거나 임의로 사용하는 경우 “부당이득반환청구소송”에 따른 소송비용을 부담하게 되거나 형법상 “횡령죄”에 해당될 수 있사오니 이점 참고하시기 바랍니다. ",착오 송금 수취인 계좌 압류 경우 수취인 사망 경우 등 반환 청구 방법,송금인 계좌 번호 입력 수취인 사람 계좌 입금 경우 금액 반환 해당 계좌 예금주 동의 해당 계좌 압류 경우 압류 동의 추가 필요 수취인 사망 경우 상속인 동의 필요 만일 예금주 연락 기타 자금 반환 수 사유 경우 해당 계좌 예금주 등 상대 법원 부당 이득 반환 청구 소 제기 법원 지급 명령 결정 신청 수 참고 착오 송금 수취인 돈 반환 임의 사용 경우 부당 이득 반환 청구 소송 소송 비용 부담 형법 횡령죄 해당 수 점 참고,착오 송금 수취 계좌 압류 경우 수취 사망 경우 등 반환 청구 방법,송금 계좌 번호 잘못 입력 수취 다른 사람 계좌 입금 경우 금액 위 해당 계좌 예금 주의 동의 또한 해당 계좌 압류 경우 압류 자의 동의 추가 수취 사망 경우 상속인 동의 만일 금주 연락 기타 자금 수 부득이 사유 경우 해당 계좌 금주 등 상대로 법원 부당이득 반환 청구 소 제기 법원 지급 명령 결정 신청 수 참고 착오 송금 수취 돈 반환 임의 사용 경우 부당이득 환청 소송 소송비용 부담 형법 횡령죄 해당 수 이점 참고,착오송금 수취 계좌 압류 경우 수취인 사망 경우 등 반환청구 방법,송금인 계좌번호 입력 정당한 수취인 사람 계좌 입금 경우 동 금액 반환 해당 계좌 예금주 동의 해당 계좌 압류 경우 압류권자 동의 추가 필요 수취인 사망 경우 상속인 동의 필요 만 예금주 연락 기타 자금 반환 수 부득이 사유 경우 해당 계좌 예금주 등 상대 법원 부당이득반환청구 소 제기하시 법원 지급명령 결정 신청 수 참고 착오송금 수취인 돈 반환 임의 사용 경우 “부당이득반환청구소송” 소송비용 부담 형법상 “횡령죄” 해당 수 있사오니 이점,착오 송금 수취인 계좌 압류 경우 수취인 사망 경우 등 반환 청구 방법,송금 인 계좌 번호 입력 수취인 사람 계좌 입금 경우 금액 반환 해당 계좌 예금주 동의 해당 계좌 압류 경우 압류 권 자 동의 추가 필요 수취인 사망 경우 상속인 동의 필요 만일 예금주 연락 기타 자금 반환 수 사유 경우 해당 계좌 예금주 등 상대로 법원 부당이득 반환 청구 소 제기 법원 지급 명령 결정 신청 수 참고 착오 송금 수취인 돈 반환 임의 사용 경우 부당이득 반환 청구 소송 소송비용 부담 형법 횡령죄 해당 수 이점 참고
"재형저축 가입조건, 고정형 변동형 차이","구분내용근거법- 조세특례제한법판매기간- ‘13.3.6. ～ ‘15년말(예정)가입대상- 총급여 5천만원 이하 근로소득자- 종합소득 3.5천만원 이하 개인사업자가입기간- 7년 (3년 연장 가능)가입한도- 분기당 300만원 (연간 1,200만원 이내)세제혜택- 7년 이상 보유시 이자․배당소득 비과세(단, 농어촌 특별세 1.4%는 부과)  변동형고정형상품구조최초 3~4년간 가입일에 약정한 고정금리+이후 매1년 단위로 변동금리 적용7년간 가입일에 약정한 금리 적용(경남은행은 3년고정 + 4년고정)금리수준(‘13.9 현재)4.0~4.6%3.1~3.5%(경남은행 최초 3년은 4.3%)판매은행17개 국내은행 모두 판매국민, 신한, 우리, 하나, 기업농협, 부산, 대구, 광주, 경남",재형저축 가입 조건 고정 변동 차이,구분 내용 근거 법 조세 특례 제한 법 판매 기간 년 말 예정 가입 대상 급여 천만 원 이하 근로 소득 종합 소득 천만 원 이하 개인 사업자 가입 기간 년 년 연장 가능 가입 한도 분기 만 원 연간 만 원 이내 세제 혜택 년 이상 보유 시 배당 소득 과세 농어촌 특별세 부과 변동 고정 상품 구조 최초 년 간 가입 일 약정 고정 금리 이후 매 년 단위 변동 금리 적용 년 간 가입 일 약정 금리 적용 경남은행 년 고정 년 고정 금리 수준 현재 경남은행 최초 년 판매 은행 개 국내 은행 판매 국민 신한 우리 하나 기업 농협 부산 대구 광주 경남,재형저축 가입 조건 고정 변동 차이,구분 내용 근거 법 특례 법 판매 기간 예정 가입 대상 급여 이하 근로 소득 종합 소득 이하 개인 사업자 가입 기간 연장 가능 가입 한도 분기 연간 이내 세제 혜택 이상 보유 시 이자 배당 소득 비 과세 단 농어촌 특별 세 부과 변동 고정 상품 구조 최초 가입 일 약정 고정 금리 이후 매 단위 변동 금리 적용 가입 일 약정 금리 적용 경남 은행 금리 수준 현재 경남 은행 최초 판매 은행 개 국내 은행 모두 판매 국민 신한 우리 하나 기업 농협 부산 대구 광주 경남,재형저축 가입조건 고정형 변동형 차이,"구분내용근거법 조세특례제한법판매기간- ‘13. 3. 6 ～ ‘15년말(예정)가입대상- 총급여 5천만원 이하 근로소득자 종합소득 3. 5천만원 이하 개인사업자가입기간 7년 3년 연장 가능 가입한도 분기당 300만원 연간 1,200만원 세제혜택 7년 이상 보유시 이자․배당소득 비과세(단, 농어촌 특별세 1.4 부 변동형고정형상품구조최초 3 4년 가입일 약정한 고정금리+이후 매1년 단위 변동금리 적용7년간 가입일 약정한 금리 적용(경남은행 3년고정 + 4년고정)금리수준(‘13. 9 현재 4. 0 4. 6%3. 1 3. 5%(경남은행 최초 3년 4. 3%)판매은행17개 국내은행 판매국민 한 우리 하나 기업농협 부산 대구 광주, 경남",재형저축 가입 조건 고정 변동 차이,구분 내용 근거 법 조세 특례 제한 법 판매 기간 15년 말 예정 가입 대상 급여 원 이하 근로 소득자 종합 소득 원 이하 개인 사업자 가입 기간 년 3년 연장 가입 한도 분기 만원 연간 만원 이내 세제 혜택 년 이상 보유 이자 배당 소득 과세 단 농어촌 특별세 부과 변 동형 고정 형 상품 구조 최초 년 간 가입 일 약정 고정 금리 이후 1년 단위 변동 금리 적용 7년 간 가입 일 약정 금리 적용 경남은행 3년 고정 4년 고정 금리 수준 현재 경남은행 최초 년 판매 은행 개 국내 은행 판매 국민 신한 기업 농협 부산 대구 광주 경남
"자동화기기 수수료면제 대상 고객인데, 지하철역 등에 설치된 ATM기기를 이용하면 왜 수수료가 면제되지 않는지?","통상 은행에서 자동화기기 수수료면제 서비스를 제공하는 경우, 해당 서비스는 “당행(일부 서비스는 타행 포함) 자동화기기를 이용할 경우”에 한정 됩니다. 따라서 은행이 아닌 VAN사업자 등 제휴업체가 운영하는 자동화기기를 이용할 경우에는 수수료가 부과될 수 있습니다.  은행 지점이나 365자동화코너가 아닌 지하철역, 편의점 등에 설치된 자동화기기를 이용하시는 경우에는 제휴업체가 운영하는 기기인지 꼼꼼히 살펴보시기 바라며, 제휴업체 기기의 경우 결제 전 처리 화면에서 수수료 부과내역을 안내하고 있으니 이점 참고하시기 바랍니다. ",자동 기기 수수료 면제 대상 고객 지하철역 등 설치 기기 이용 수수료 면제,통상 은행 자동 기기 수수료 면제 서비스 제공 경우 해당 서비스 당 일부 서비스 타행 포함 자동 기기 이용 경우 한정 은행 사업자 등 제휴 업체 운영 자동 기기 이용 경우 수수료 부과 수 은행 지점 자동 코너 지하철역 편의점 등 설치 자동 기기 이용 경우 제휴 업체 운영 기기 제휴 업체 기기 경우 결제 전 처리 화면 수수료 부과 내역 안내 점 참고,자동화 기기 수수료 면제 대상 고객 지하철역 등 설치 기기 이용 왜 수수료 면제,통상 은행 자동화 기기 수수료 면제 서비스 제공 경우 해당 서비스 행 일부 서비스 행 포함 자동화기 이용 경우 한정 따라서 은행 사업자 등 제휴 업체 운영 자동화기 이용 경우 수수료 부과 수 은행 지점 자동화 코너 지하철역 편의점 등 설치 자동화기 이용 경우 제휴 업체 운영 기기 제휴 업체 기기 경우 결제 전 처리 화면 수수료 부과 역 안내 이점 참고,자동화 수수료면제 대상 고객 지하철역 등 설치 기 이용 수수료 면제,은행 자동화 수수료면제 서비스 제공 경우 해당 서비스 “당행(일부 서비스 타행 포함 자동화 이용 경우” 한정 은행 사업자 등 제휴업체 운영 자동화 이용 경우 수수료 부과 수 은행 지점 365자동화코너 지하철역 편의점 등 설치 자동화 이용 경우 제휴업체 운영 기 제휴업체 기기 경우 결제 전 처리 화면 수수료 부과내역 내 이점,자동화 기기 수수료 면제 대상 고객 지하철역 등 설치 기기 이용 수수료 면제,은행 자동화 기기 수수료 면제 서비스 제공 경우 해당 서비스 당행 일부 서비스 타행 포함 자동화기 이용 경우 한정 은행 사업자 등 제휴 업체 운영 자동화기 이용 경우 수수료 부과 수 은행 지점 자동화 코너 지하철역 편의점 등 설치 자동화기 이용 경우 제휴 업체 운영 기기 인지 제휴 업체 기기 경우 결제 처리 화면 수수료 부과 내역 안내 이점 참고
"개인회생 경력이 있다고 은행에서 대출을 거절하는데, 이 경우 대출이 불가능한 것인지 여부","은행권에 따르면, 개인회생제도를 이용한 바 있더라도, 변제계획에 따른 변제 완료시 또는 5년이 경과한 때, 은행연합회에 등록된 신용정보는 해제되며, 이 경우 개인회생만을 이유로 대출을 거절하고 있지는 않다고 합니다. 다만, 개인회생과는 관계없이 낮은 신용등급 등이 원인이 되어 대출이 제한될 수 있다고 하오니 이점 참고하시기 바랍니다.",개인 회생 경력 은행 대출 거절 경우 대출 가능 것 여부,은행 개인 회생 제도 이용 바 변제 계획 변제 완료시 년 경과 때 은행 연합회 등록 신용 정보 해제 경우 개인 회생 이유 대출 거절 개인 회생 신용 등급 등 원인 대출 제한 수 점 참고,개인 회생 경력 은행 대출 거절 이 경우 대출 것 여부,은행권 개인 회생 제도 이용 바 변제 계획 변제 완료 시 경과 때 은행 연합 회 등록 신용정보 해제 이 경우 개인 회생 이유 대출 거절 다만 개인 회생 신용등급 등 원인 대출 제한 수 이점 참고,개인회생 경력 은행 대출 거절 경우 대출 불가능 것 여부,은행권 개인회생제도 이용 바 변제계획 변제 완료시 5년 경과한 때 은행연합회 등록 신용정보 해제 경우 개인회생만 이유 대출 거절 개인회생 신용등급 등 원인 대출 제한 수 이점,개인 회생 경력 은행 대출 거절 경우 대출 것 여부,은행 개인 회생 제도 이용한 바 변제 계획 변제 완료 년 경과 때 은행 연합회 등록 신용정보 해제 경우 개인 회생 이유 대출 거절 개인 회생 신용등급 등 원인 대출 제한 수 이점 참고
민원취하는 어떻게 하나요?, 민원을 취하하실 경우 아래의 절차를 따라 진행해 주시면 됩니다. 접속경로 :  금감원 홈페이지(www.fss.or.kr) 접속 > 민원신청 > 나의민원조회  해당 민원 제목을 클릭하여 민원내용을 열고 민원취하 사유를 입력하신 후 취하 버튼을 누르시면 취하 완료됩니다.  감사합니다.,민원,민원 취하 경우 아래 절차 진행 접속 경로 금감원 홈페이지 접속 민원 신청 나 민원 조회 해당 민원 제목 클릭 민원 내용 민원 취하 사유 입력 후 취하 버튼 취하 완료 감사,민원 취하 하나요,민원 취하 경우 아래 절차 진행 주시 접속 경로 금감원 홈페이지 접속 민원 신청 나 민원 조회 해당 민원 제목 클릭 민원 내용 민원 취하 사유 입력 후 취하 버튼 취하 완료,민원취하,민원 경우 아래 절차 진행 접속경로 금감원 홈페이지(www. 접속 민원신청 나의민원조회 해당 민원 제목 클릭 민원내용 민원취하 사유 입력 후 버튼 완료 감사,민원,민원 취하 경우 아래 절차 진행 접속 경로 금감원 홈페이지 .kr 접속 민원 신청 민원 조회 해당 민원 제목 클릭 민원 내용 민원 취하 사유 입력 후 취하 버튼 취하 완료 감사
주문대리인 등록시 유의할 사항은 무엇인가요?,"주문대리인 등록시 주문대리기간은 가급적 1년 이내로 지정하고, 주문대리인 지정계좌에 대한 증권회사의 월간매매내역 통지 내용을 반드시 확인할 필요가 있으며,  주문대리인에게 주문대리권과 별도로 자금출금 또는 이체의 대리권까지 부여하는 경우는 횡령, 배임 등 금융사고로 인해 예상하지 못한 금전적 피해를 입을 수 있으므로 유의할 필요가 있습니다.  또한, 주문대리인이 다수의 고객을 주문대리 하는 경우 주문대리인이 여러 계좌를 주문대리 목적 외로 사용할 소지가 있으니 유의하기 바랍니다.",주문 대리인 등록 시 유의 사항 무엇,주문 대리인 등록 시 주문 대리 기간 년 이내 지정 주문 대리인 지정 계좌 증권 회사 월간 매매 내역 통지 내용 확인 필요 주문 대리인 주문 대리 별도 자금 출금 이체 대리권 부여 경우 횡령 배임 등 금융 사고 예상 금전 피해 수 유의 필요 주문 대리인 다수 고객 주문 대리 경우 주문 대리인 계좌 주문 대리 목적 외 사용 소지 유의,주문 대리인 등록 시 유의 사항 무엇,주문 대리인 등록 시 리기 이내 지정 주문 대리인 지정 계좌 대한 증권 회사 월간 매매 역 통지 내용 반드시 확인 필요 대리인 대리권 별도 자금 출금 이체 대리권 부여 경우 횡령 배임 등 금융 사고 예상 못 금전 피해 입 수 유의 필요 또한 대리인 다수 고객 주문 대리 경우 대리인 여러 계좌 주문 대리 목적 외로 사용 소지 유의,주문대리인 등록시 유의 사항 무엇,주문대리인 등록시 주문대리기간 1년 이내 지정 주문대리인 지정계좌 증권회사 월간매매내역 통지 내용 확인 필요 주문대리인 주문대리권 별도 자금출금 이체 대리권 부 경우 횡령 배 등 금융사고 예상 금전적 피해 입 수 유의 필요 주문대리인 다수 고객 주문대 경우 주문대리인 계좌 주문대 목적 외 사용 소지 유의,주문 대리인 등록 시 유의 사항,주문 대리인 등록 시 주문 대리 기간 년 이내 지정 주문 대리인 지정 계좌 증권 회사 월간 매매 내역 통지 내용 확인 필요 주문 대리인 주문 대리 권 별도 자금 출금 이체 대리 부여 경우 횡령 배임 등 금융 사고 인해 예상 금전 피해 입 수 유의 필요 주문 대리인 다수 고객 주문 대리 경우 주문 대리인 계좌 주문 대리 목적 외 사용 소지 유의
주문대리인 제도는 무엇인가요?,"금융투자회사는 원칙적으로 계좌명의인 이외의 자로부터 매매거래의 위탁을 받아서는 아니 되지만, 예외적으로 정당한 권한을 위임받은 주문대리인을 지정하여 금융투자회사에 매매주문을 제출하도록 할 수 있습니다.  주문대리인 지정은 위임장 등 서면서류를 증권회사에 제출하여 주문대리인으로 등록하면 주문대리인을 통해 매매가 가능합니다.",주문 대리인 제도 무엇,금융 투자 회사 원칙 계좌 명의인 이외 자 매매 거래 위탁 예외 권한 위임 주문 대리인 지정 금융 투자 회사 매매 주문 제출 수 주문 대리인 지정 위임장 등 서면 서류 증권 회사 제출 주문 대리인 등록 주문 대리인 매매 가능,주문 대리인 제도 무엇,금융투자 회사 원칙 계좌 명의 이외 자로 매매 거래 위탁 예외 권한 위임 대리인 지정 금융투자 회사 매매 주문 제출 수 주문 대리인 지정은 위임장 등 서면 서류 증권 회사 제출 대리인 등록 대리인 통해 매매,주문대리인 제 무엇,금융투자회사 원칙적 계좌명의 이외 자 매매거래 위탁 예외적 정당한 권한 위임 주문대리인 지정 금융투자회사 매매주문 제출 수 주문대리인 지정 위임장 등 서면서류 증권회사 제출 주문대리인 등록 주문대리인 매매가 가능,주문 대리인 제도,금융 투자 회사 원칙 계좌 명의 이외 자 매매 거래 위탁 예외 권한 위임 주문 대리인 지정 금융 투자 회사 매매 주문 제출 수 주문 대리인 지정 위임장 등 서면 서류 증권 회사 제출 주문 대리인 등록 주문 대리인 매매
투자권유대행인을 통해 주문이 가능하나요?,"투자권유대행인은 투자자에게 투자권유만 가능하며, 투자자로부터 매매권한을 위탁받는 행위가 금지되어 있습니다.  참고로 투자권유대행인은 ① 고위험 상품인 파생상품 등에 대한 투자권유② 금융투자업자 또는 투자자를 대리하여 계약체결③ 투자자로부터 금전·증권 등 재산수취④ 투자자로부터 매매권한을 위탁받는 행위등을 할 수 없습니다.",투자 유대 행인 주문 가능,투자 유대 행인 투자자 투자 권유 가능 투자자 매매 권한 위탁 행위 금지 참고 투자 유대 행인 위험 상품 파생 상품 등 투자 권유 금융 투자 업자 투자자 대리 계약 체결 투자자 금전 증권 등 재산 수취 투자자 매매 권한 위탁 행위 등 수,투자 권유 대행 통해 주문,투자 권유 대행 투자자 투자 권유 투자자 로부터 매매 권한 위탁 행위 금지 참고 투자 권유 대행 위험 상품 파생상품 등 대한 투자 권유 금융투자 업자 투자자 대리 계약 체결 투자자 로부터 금전 증권 등 재산 수취 투자자 로부터 매매 권한 위탁 행위 등 수,투자권유대행인 주문 가능,투자권유대행인 투자자 투자권유 가능 투자자 매매권한 위탁 행위 금지 참고 투자권유대행인 ① 고위험 상품 파생상품 등 투자권유② 금융투자업자 투자자 대리 계약체결③ 투자자 금 증권 등 재산수취④ 투자자 매매권한 위탁 행위등 수,투자 권유 대행 인 주문,투자 권유 대행 인 투자자 투자 권유 투자자 매매 권한 위탁 행위 금지 참고 투자 권유 대행 인 위험 상품 파생상품 등 투자 권유 금융 투자 업자 투자자 대리 계약 체결 투자자 금전 증권 등 재산 수취 투자자 매매 권한 위탁 행위 등 수
투자권유대행인은 어떤 사람인가요?,"투자권유대행인은 투자자의 편의성을 제고하기 위해 증권회사 임직원은 아니면서 증권회사로부터 업무위탁을 받아 투자자에게 금융투자상품의 매매의 체결 등을 권유하는 업무를 하는 사람입니다.  1개 증권회사에 전속되어 관리·감독을 받으며, 종전 투자상담사 등이 자본시장법 시행과 함께 투자권유대행인으로 통합되었습니다.",투자 유대 행인 사람,투자 유대 행인 투자자 편의 제고 증권 회사 임직원 증권 회사 업무 위탁 투자자 금융 투자 상품 매매 체결 등 권유 업무 사람 개 증권 회사 전속 관리 감독 종전 투자 담사 등 자본 시장법 시행 투자 유대 행인 통합,투자 권유 대행 사람,투자 권유 대행 투자자 편의 제 위해 증권 회사 임 직원 증권 회사 로부터 업무 위탁 투자자 금융투자 상품 매매 체결 등 권유 업무 사람 개 증권 회사 전속 관리 감독 종전 투자 상담사 등 자본시장 법 시행 투자 권유 대행 통합,투자권유대행인 사람,투자권유대행인 투자자 편의성 제 증권회사 임직원 증권회사 업무위탁 투자자 금융투자상품 매매 체결 등 권유 업무 사람 1개 증권회사 전속 관리·감독 종전 투자상담사 등 자본시장법 시행 투자권유대행인 통합,투자 권유 대행 인 사람,투자 권유 대행 인 투자자 편의 제고 증권 회사 임직원 증권 회사 업무위탁 투자자 금융 투자 상품 매매 체결 등 권유 업무 사람 개 증권 회사 전속 관리 감독 종전 투자 상담 사 등 자본 시장 법 시행 투자 권유 대행 인 통합
지인이 증권 위탁계좌를 관리해 주겠다고 비밀번호 및 거래인감 등을 자신에게 맡기라고 하는데 괜찮나요?,"계좌번호, 비밀번호, 거래인감과 증권카드 등을 지인에게 알리거나 보관하는 경우 횡령, 배임 등 금융사고로 이어질 개연성이 높으므로 어떠한 경우에도 지인에게 알리거나 보관토록 하지 말고 스스로 관리하고, 투자금액은 본인이 직접 계좌에 입금하여야 합니다.",지인 증권 위탁 계좌 관리 비밀 번호 거래 인감 등 자신 데,계좌 번호 비밀 번호 거래 인감 증권 카드 등 지인 보관 경우 횡령 배임 등 금융 사고 개연 경우 지인 보관 관리 투자 금액 본인 계좌 입금,지인 증권 위탁 계좌 관리 비밀번호 및 거래 인감 등 자신,계좌 번호 비밀번호 거래 인감 증권 카드 등 지인 보관 경우 횡령 배임 등 금융 사고 개연 경우 지인 보관 스스로 관리 투자 금액 본인 직접 계좌 입금,지인 증권 위탁계좌 관리 비밀번호 거래 감 등 자신,계좌번호 비밀번호 거래 감 증권카드 등 지인 보관 경우 횡령 배 등 금융사고 개연성 경우 지인 보관토록 관리 투자금액 본인 계좌 입금,지인 증권 위탁 계좌 관리 비밀 번호 거래 인감 등 자신,계좌 번호 비밀 번호 거래 감과 증권 카드 등 지인 보관 경우 횡령 배임 등 금융 사고 개연 경우 지인 보관 관리 투자 금액 본인 계좌 입금
금융투자상품을 매매거래할 때 금융투자회사와 투자자 사이에 손실부담 약정을 맺는 것이 가능한가요?,"자본시장법에서는 금융투자업자가 증권의 매매, 그밖에 거래와 관련하여 손실을 보전하거나 이익을 보장하는 행위를 금지(법 제71조 제7호)하고 있으며,  대법원은 금융투자회사와 일정부분의 투자수익을 보장해 주는 약정을 맺는 것도 강행법규 위반으로 무효라고 판시하고 있습니다(대법원 2002. 12. 26. 선고 2000다56952 판결).  한편, 금융투자회사가 사전에 준법감시인에게 보고한 경우로서① 투자매매업자·투자중개업자 및 그 임직원이 자신의 위법(과실로 인한 위법 포함)행위여부가 불명확한 경우 사적 화해의 수단으로 손실을 보상하는 행위② 투자매매업자 또는 투자중개업자의 위법행위로 인하여 손해를 배상하는 행위③ 분쟁조정 또는 재판상의 화해절차에 따라 손실을 보상하거나 손해를 배상하는 행위는 가능합니다.(금융투자업규정 제4-20조 제1항).",금융 투자 상품 매매 거래 때 금융 투자 회사 투자자 사이 손실 부담 약정 것 가능,자본 시장법 금융 투자 업자 증권 매매 밖 거래 관련 손실 보전 이익 보장 행위 금지 법 조 호 대법원 금융 투자 회사 일정 부분 투자 수익 보장 약정 것 강행법규 위반 무효 판시 대법원 선고 판결 한편 금융 투자 회사 사전 준법 감시인 경우 투자 매매 업자 투자 중개업자 임직원 자신 위법 과실 위법 포함 행위 여부 경우 사 화해 수단 손실 보상 행위 투자 매매 업자 투자 중개업자 위법 행위 손해 배상 행위 분쟁 조정 재판 화해 절차 손실 보상 손해 배상 행위 가능 금융 투자 업 규정 조 항,금융투자 상품 매매 거래 때 금융투자 회사 투자자 사이 손실 부담 약정 것,자본시장 법 금융투자 업자 증권 매매 그 거래 관련 손실 이익 보장 행위 금지 법 제 제 호 대법원 금융투자 회사 정부 투자 수익 보장 약정 것 강행법규 위반 무효 대법원 선고 판결 한편 금융투자 회사 사전 준법 감시인 보고 경우 로서 투자 매매 업자 투자 중개업 및 그 임 직원 자신 위법 과실 위법 포함 행위 여부 불 경우 사적 화해 수단 손실 보상 행위 투자 매매 업자 투자 중개업 위법행위 손해 배상하 행위 분쟁 조정 재판 상의 화해 절차 손실 보상 거나 손해 배상하 행위 금융투자 업 규정 제 제 항,금융투자상품 매매거래 때 금융투자회사 투자자 사이 손실부담 약정 것 가능,자본시장법 금융투자업자 증권 매매 그 거래 관련하 손실 보전 이익 보장하 행위 금지(법 제71조 제7호)하 대법원 금융투자회사 일정부분 투자수익 보장 약정 것 강행법규 위반 무효 판시 있습니다(대법원 2002 12 26 선고 2000다56952 판결 한편 금융투자회사 사전 준법감시인 경우로서① 투자매매업자·투자중개업자 임직원 자신 위법(과실 위법 포함 행위여부 불명확 경우 사적 화해 수단 손실 보상 행위② 투자매매업자 투자중개업자 위법행위 손해 배상 행위③ 분쟁조정 재판 화해절차 손실 보상 손해 배상 행위 가능 (금융투자업규정 제4-20조 제1항),금융 투자 상품 매매 거래 때 금융 투자 회사 투자자 사이 손실 부담 약정 것,자본 시장 법 금융 투자 업자 증권 매매 거래 관련 손실 보전 이익 보장 행위 금지 법 호 대법원 금융 투자 회사 일정 부분 투자 수익 보장 약정 것 강행법규 위반 무효 라고 판시 대법원 선고 다 판결 한편 금융 투자 회사 사전 준법 감시인 보고 경우 투자 매매 업자 투자 중개업자 임직원 자신 위법 과실 위법 포함 행위 여부 경우 사적 화해 수단 손실 보상 행위 투자 매매 업자 투자 중개업자 위법 행위 손해 배상하 행위 분쟁 조정 재판 화해 절차 손실 보상 손해 배상하 행위 금융 투자 업 규정 항
금융투자회사 직원의 권유로 파생상품에 투자하였는데 손실을 입은 경우 증권회사에게 손해배상책임을 물을 수 있나요?,"금융상품 투자는 원칙적으로 고객 개인의 판단에 의하여 이루어지는 것이기 때문에, 투자를 통한 손실에 대해서는 기본적으로 고객 자신이 책임을 지는 것이 원칙입니다. 그러나 매매권유행위가 부당한 투자권유 행위로 간주될 수 있는 상황이라면 금융투자회사의 손해배상책임을 고려할 수 있습니다.  손해배상책임이 존재하기 위해서는 금융투자회사의 불법행위책임의 성립조건으로 거래경위와 거래방법, 투자자의 투자상황, 거래의 위험도 및 이에 관한 설명의 정도 등을 종합적으로 고려한 후 당해 권유행위가 경험이 부족한 일반투자자에게 거래행위에 필연적으로 수반되는 위험성에 관한 올바른 인식형성을 방해하거나, 투자자의 투자상황에 비추어 과대한 위험성을 수반하는 거래를 적극적으로 권유한 경우에 해당하여 결국 투자자에 대한 보호의무를 저버려 위법성을 띤 행위인 것으로 판단될 수 있어야 합니다.",금융 투자 회사 직원 권유 파생 상품 투자 손실 경우 증권 회사 손해 배상 책임 수,금융 상품 투자 원칙 고객 개인 판단 것 때문 투자 손실 기본 고객 자신 책임 것 원칙 매매 권유 행위 부당 투자 권유 행위 간주 수 상황 금융 투자 회사 손해 배상 책임 고려 수 손해 배상 책임 존재 금융 투자 회사 불법 행위 책임 성립 조건 거래 경위 거래 방법 투자자 투자 상황 거래 위험 이 설명 정도 등 종합 고려 후 권유 행위 경험 부족 일반 투자자 거래 행위 필연 수반 위험 인식 형성 방해 투자자 투자 상황 위험 수반 거래 적극 권유 경우 해당 결국 투자자 보호 의무 위법 행위 것 판단 수,금융투자 회사 직원 권유 파생상품 투자 손실 경우 증권 회사 손해배상 책임 물 수,금융 상품 투자 원칙 고객 개인 판단 것 이기 때문 투자 통한 손실 대해 기본 고객 자신 책임 것 원칙 매매 권유 행위 투자 권유 행위 간주 수 상황 라면 금융투자 회사 손해배상 책임 고려 수 손해배상 책임 존재 위 금융투자 회사 불법행위 책임 성립 조건 거래 경위 거래 방법 투자자 투자 상황 거래 위험 및 이 관 설명 정도 등 종합 고려 후 권유 행위 경험 투자자 거래 행위 필연 수반 위험성 관 인식 형성 방 투자자 투자 상황 과대 위험성 수반 거래 적극 권유 경우 해당 투자자 대한 보호 의무 저 위법성 띤 행위 것 판단 수,금융투자회사 직원 권유 파생상품 투자하 손실 입 경우 증권회사 손해배상책임 물 수,금융상품 투자 원칙적 고객 개인 판단 것 때문 투자 손실 기본적 고객 자신 책 것 원칙 매매권유행위 부당한 투자권유 행위 간주 수 상황 금융투자회사 손해배상책임 수 손해배상책임 존재하기 금융투자회사 불법행위책임 성립조건 거래경위 거래방법 투자자 투자상황 거래 위험 이 설명 정도 등 종합적 후 권유행위 경험 부족한 일반투자자 거래행위 필연적 수반 위험성 인식형성 방해 투자자 투자상황 위험성 수반 거래 적극적 권유 경우 해당 투자자 보호의무 위법성 행위 것 판단 수,금융 투자 회사 직원 권유 파생상품 투자 손실 경우 증권 회사 손해배상 책임 물 수,금융 상품 투자 원칙 고객 개인 판단 것 때문 투자 손실 기본 고객 자신 책임 것 원칙 매매 권유 행위 투자 권유 행위 간주 수 상황 금융 투자 회사 손해배상 책임 고려 수 손해배상 책임 존재 금융 투자 회사 불법행위 책임 성립 조건 거래 경위 거래 방법 투자자 투자 상황 거래 위험 설명 정도 등 종합 고려 후 권유 행위 경험 부족 일반 투자자 거래 행위 필연 수반 위험성 인식 형성 방해 투자자 투자 상황 위험성 수반 거래 적극 권유 경우 해당 투자자 보호 의무 위법성 행위 것 판단 수
